user_id,review,rating,timestamp,cleaned_review,violation_flag,sentiment_score
e208cbcb-7df6-461e-9d1c-04e744286d0e,Good UX. Recommended.,4,2025-04-24,good ux recommended,False,0.7
4f8773df-4807-40b9-a13d-7e055d2e3f7c,Worst experience ever. App keeps crashing.,1,2025-04-18,worst experience ever app keeps crashing,False,-1.0
85a71ae4-836b-4817-8401-aa8d2bbcb69d,"Works fine, but lags sometimes.",5,2025-05-15,works fine but lags sometimes,False,0.4166666666666667
f6b7d113-ad36-474c-b122-c6b753782fe1,"Works fine, but lags sometimes.",1,2025-04-22,works fine but lags sometimes,False,0.4166666666666667
79ba3d91-a603-46fb-8d87-9f2c221f2aab,App is decent. Could use some improvements.,4,2025-05-02,app is decent could use some improvements,False,0.16666666666666666
d848aada-3634-485d-b1ad-137233e48867,Worst experience ever. App keeps crashing.,2,2025-04-20,worst experience ever app keeps crashing,False,-1.0
0067338e-dea9-4ddc-ba99-8798ae6f39a4,App is decent. Could use some improvements.,4,2025-04-26,app is decent could use some improvements,False,0.16666666666666666
4c28fc86-380f-43b1-9a24-3525815a96bc,Customer service is terrible. Avoid this.,1,2025-04-19,customer service is terrible avoid this,True,-1.0
be3598c9-7ab8-49ef-a21b-e49beeeccedc,App is decent. Could use some improvements.,2,2025-04-16,app is decent could use some improvements,False,0.16666666666666666
5888ad02-c4a2-4dcb-afbd-79fd6c7685b3,App is decent. Could use some improvements.,1,2025-05-07,app is decent could use some improvements,False,0.16666666666666666
bac1ac22-948c-47fe-8042-b32d248a9aea,Worst experience ever. App keeps crashing.,4,2025-04-22,worst experience ever app keeps crashing,False,-1.0
2c7fedb7-eae0-40e2-aa52-6bb6d5b24b23,This is a scam. Took my money and didn’t work.,4,2025-04-21,this is a scam took my money and didn’t work,True,0.0
d4d3b5f7-164d-47ac-94cd-4e311bf77c9e,This is a scam. Took my money and didn’t work.,1,2025-04-19,this is a scam took my money and didn’t work,True,0.0
dc4f2d80-9828-40a4-9320-54986f943b20,Good UX. Recommended.,1,2025-04-18,good ux recommended,False,0.7
0de4d40d-8580-4f76-9211-15c913e23352,This is a scam. Took my money and didn’t work.,1,2025-04-19,this is a scam took my money and didn’t work,True,0.0
c5505737-194a-4df8-89a6-deb0e017109a,Good UX. Recommended.,5,2025-05-10,good ux recommended,False,0.7
0231ce9d-b004-4e95-8a03-e7a05999a237,Very buggy. Deleted my files!,2,2025-05-07,very buggy deleted my files,False,0.2
268e9aca-1b56-41d5-92b2-b8d239ea2944,Customer service is terrible. Avoid this.,3,2025-04-30,customer service is terrible avoid this,True,-1.0
